text,id
@avbmbyah MF IT'S SO SAD TO WATCH I SHOULD'VE PUT WATCH AT UR OWN RISL,5
@stansj_ this is exciting. they’ve improved so much vocally over the years and it’s definitely gonna sound superior. but also kinda sad. 😔,5
"@donwinslow @Yahoo Sad, dishonorable and a black eye for the Corps.",5
being desensitized to your own trauma is a trip. you tell someone ab something that happened and they get all conce… https://t.co/ltc35LXvqv,5
@Young_Huchun Very sad 😟😔,5
I schooled in the north for about 5years so let me say I'm not too surprised by that released circular. Even though… https://t.co/1eLhFWf4Md,5
Like? Why do y’all hate black women so much it makes me sad,5
@NickNairn @Charlie59845959 When .... Oh  When  Are people going  to wake up and say NO to this Nonsense of a gover… https://t.co/9XNSOecqO1,5
@namemysock @DualDuels @cracker_bald @AngryVoter2016 @pacman522 @FallingWaterz @SC_Michelle @Soulshaker007… https://t.co/1LLdf3FIUM,5
@finesijeun Most of Naeun haters I saw are Jaehyun fans. This is sad 😟,5
@CHRlSTINES why is that account dedicated to announce such false information repeatedly??? that is honestly so sad… https://t.co/LJbL9Ogmrh,5
"The fuck just happened, I'm high and also sad",5
@UmbranStar I don't even recognize many of the new ones. It's sad.,5
Brilliant.  Sad @pritipatel who also benefitted from immigration to the UK is continuing the hostile environment. https://t.co/jjn2hC22iR,5
"Just reached level 69 in overwatch, sad to announce i have crafted a Certified Club Banger™️.",5
"@Born7QThink Your dad sounds like mine, Romanian &amp; snowed by MSM. Shocking &amp; very sad, given his first-hand knowled… https://t.co/SyWQwT41y8",5
@DStv it's kinda sad that the @ShowmaxOnline app allows u to cast to AppleTV @netflix app too but the DSTV app only… https://t.co/OkjMkdN8m8,5
"maskin sad ko kay wa ka attend sa BTS ON:E concert 
still I find way to be happy by simply watching their videos :) https://t.co/vHm1dtyJMA",5
Why do Disney movies gotta have sad parts man I don’t like crying 😭,5
@LexSolo3 @willibeaman @Txnmoxy @JoshSuitcase Its sad to witness. No-one deserves to die.,5
@unahbSZN me is sad ok,5
im just really invested in his lore and any information we have about him and just auugghh its really sad,5
i remember i got this expensive honey from new zealand as a gift it was very good sad day when i ran out,5
"Love my new coworkers. They are super nice and its awesome to have kind and thoughtful people added to the team.
Wi… https://t.co/sSnwuL7OcO",5
"If @Jenna_Marbles doesn't come back for her 5-Minute Craft video she's been doing for 3 years in February of 2021,… https://t.co/1EV5Ye1bGw",5
Wow I’m already getting sad about having to go to work on Monday lol,5
me is sad but no time to cry huehue schoolworks muna,5
Teenage memories with my bff... we might’ve only been 15 but at least we experimented w this before boys. 😆hahahaha… https://t.co/LQiAIPM8mg,5
the sad thing is that typing this was the easy part 😭 i actually had to find the equation for BC and my handwritten… https://t.co/uZN3kFx4TK,5
Awwwww.. Dhoni bai. I feel sad for ONLY you. Your team should sink to the deepest depths. https://t.co/WFzShzGrxh,5
please feel free to be sad with me :-),5
god it makes me so sad that this was meant to be their tour vcr...,5
@halfbloodvince Deep condolences. So sad to hear of your loss. Sending you and your family strength and love during this difficult time 🖤,5
"I’m excited and actually pretty sad cause once this concert is over that’s it, it’s done 🥺😢",5
What will be very sad that I have been trying to join jio customer service since last night but due to the bad serv… https://t.co/IDPlBg2j7o,5
It’s actually sad how much people cheat in warzone lmaoooo it’s so normal,5
"@master_shojae I never react the way people do. Everybody cant be same , everyone is different , sometime what we c… https://t.co/on2fYTVoWT",5
"Some people dont really care about this SARS thing on Twitter, they just want more follows, likes and engagements a… https://t.co/uW3pdQsZmp",5
"ths is so sad,, i teared imagining how his family will berdendam with that girl https://t.co/0r7SQH5aRc",5
I just saw after a long time the in memoriam episode of Riverdale and I forgot how sad it is but at the same time is so special 🥺,5
@TomorrowPension @SenatorHume That’s sad. Sorry. But his family shouldn’t feel left  country has become a nasty pla… https://t.co/nAIxZjmoNi,5
@XoKeeyy Its funny and sad at the same time but life isn’t going to be like this forever 😉,5
@dans_nld Yeahhh it’s true even my own parents who live in this country share these very same sentiments it’s sad man.,5
@Zenkho_ honestly extremely sad he needs help,5
"This was a sad episode, in a good way. The tragedy of Freeze just gets worse and worse for him here https://t.co/jZdVPpyhnP",5
@kirstiealley He failed to utilize the powers the American people who voted him in to office gave him to properly p… https://t.co/RhhkcYCpAa,5
I just found out Jack Nicholson is 83 years old and I’m so sad.,5
ill be so sad if miley doesn't release angels like you😭,5
i’m too sad to even play sims lmao i just opened it to try and take my mind off stuff but i honestly can’t even bear to move 🙃,5
twitter being a bitch and not letting me upload a mp4 video??? i'm so sad,5
@tiresomedesert @sarahlugor holy shit thats sad,5
@OfficeofVa @smitaparikh2 @iujjawaltrivedi @iAmSaffronTiger None of you are trustworthy anymore.... gaining fame an… https://t.co/K7VNpMvQLm,5
Really really sad rn so goodnight 💗💗💗,5
@WendyOseni Really sad 😞,5
yall all said u would join my this is us watch party and no one joined this is so sad for me,5
youre sad? today is the last day of renra now youre sadder,5
imagine being sad literally everyday idk how I still manage,5
@HaggisAdele Sorry to hear your sad news Adele😢 Thinking of you all❤️,5
"Sad ending to stream..

Such a lit start with a @ImKayC_ raid and a karaoke night in discord.. ended with TWO inter… https://t.co/wa0CYKrtff",5
These people are actually really the worst people on this planet. Aggressively stupid and tremendously ignorant.… https://t.co/KdpoSBJkEJ,5
"ALSO, TODAY IS ONLY POSSIBLE BC OF CHI SO LOOK AT THIS SAD ATTEMPT MY HANDS WERE ALREADY SHAKING LMAO I LOVE YOU CH… https://t.co/ylRLOlaRBB",5
I am very scared and sad #EndSARS #EndSarsNow #leaked #UnitedNationsHelp #justiceforjimoh #justiceforjimoh,5
I'm so nervous and sad :((( i don't want this to be the last night,5
@_Etidollars @the_law_himself This is so sad omG 😭,5
@sohnnmoon I DONT HAVE A SPECIFIC MOOD PLAYLIST theyre divided to oldies-thot-happy-sad but i know a yt playlist hold on,5
"Sad incident in karachi. Maulana Adil khan brutally martyred. 
Say no to sectarianism.

 https://t.co/tYsTuO50Yo

#علماء_کےقاتل_نامعلوم_کیوں",5
because of covid we barely have any drill on this field this year. we've done the drill for only the first song whi… https://t.co/jlnzgiRWjT,5
guys rlly ain’t loyal to their “homeboys” anymore smh sad to see it,5
"i guess one way to get rid of my cookie dough obsession was to eat it everyday for two months, i’m sad i don’t enjoy it anymore 💔",5
@piersmorgan It's sad times piers the trouble is can we really say things will have changed for the better this tim… https://t.co/KLpy0MgOYE,5
"@feistywomankent Only via camera for us, but who could be sad seeing her so happy and healthy?",5
"@Freeandblxck @GongaAfrika @Vaxitylol @wptabp @Priest7 @JudgeJoeBrownTV All emotions are actions Idiot[happy, sad,… https://t.co/1klZPhF94w",5
I tend to do this when im sad or di ako okay. Hello Moots just want to say na if you ever feel alone or sad don’t h… https://t.co/RfXt41IsV3,5
"@Dark1Pilots what?! omg so that means 
the clique is falling apart or what
this is so sad",5
"i never realized, i'll get sad again",5
"A WHOLE lot of ""Christians"" don't know their religious heads are given the mandate to ensure their safety! 

Y'all… https://t.co/7CrTgEmA2N",5
ngl doe nick avocado only lives from the temporary serotonin he gets from eating the 10k calories junkfood he does… https://t.co/JlGJ6SkfTc,5
I’m so sad but I did it to myself,5
"@GardnerMinshew5 Sad to see this tweet rn 😔🥺😭 Still love Gardner, the god, though",5
So Sad &amp; Painful😢😢😭..IsiaqJimoh Father crying at His Son Funeral.. Imagine😢..A student which was the only hope of t… https://t.co/ZJqAKGpskl,5
"@Phrxse1 @PopCrave @LuisFonsi @daddy_yankee Yes. Exactly! 

He used to be that singer with TRUE Latin Pop music and… https://t.co/4leYXKBneS",5
BYE IM SAD NOW,5
"@SharksJosh95 @NickFlohr_ gonna be sad if Sorensen leaves, but the reality is he is a movable piece. I feel like Si… https://t.co/3HMc4dq0fw",5
"Sad to learn that Keerthi from Taggihalli fell into Hemavati canal and lost his life. 
Today i have visited the Gub… https://t.co/D8ZQPaIJrc",5
"Watching the video posted by Ms Locket Chatterjee, of beating a Sikh bhai by police of WB Government, it seems we a… https://t.co/bohvTsQUu0",5
@dopestrudegirl @alexismonettttt Yesss bitch omg that’s sad but I bet the jay still ain’t come up them 1300 boys fo… https://t.co/9dXeohUZeS,5
"@realDonaldTrump your a sad, pathetic, narcissistic cry baby. Every speech you give I just want to call the whamula… https://t.co/m1fYCg42rJ",5
Sometimes i wish i can go back into time and change allot of things and ppl...#sad,5
ala but kinda sad sebab ni cam kasut indoors and the court tadi cam not that smooth hhh but I have to suck it up 😔,5
@taegootro right?? i was so sad when i read they weren’t streaming 😭,5
Part of me misses taking screenshots. Part of me knows my spark for it just isn't there anymore. It's just sad know… https://t.co/ujojQ0dk4M,5
Thinking about my life makes me sad so no thoughts just vibes,5
I finished my Roscato and now I’m SAD 🥺,5
@Gmaxi_32 Feel so sad 😭,5
not happy not sad just empty,5
"@limahcream Enjoy being sad. It’ll make two of us. 
https://t.co/CQq1LwwcRP",5
Idk why I feel so sad when I reply to a tweet and they don’t reply me back hahahahaha wtf me :(,5
NOT THE YELLING IM SAD I MISS EM,5
Absolute bullshit that M Pence had to sit there listening to lie after lie coming outta that bitches mouth just lik… https://t.co/9ME4WPMX4Q,5
@MissTyree8 @michele_mannor @SnarkishDanno I once dreamed that a major terrorist attack would happen on a date in t… https://t.co/5ucTSFiPMV,5
"@jangjunbb i want to do it too... but as a Carat too, i know how l*zy Carats can be. sad but true",5
@nashcantu @britneyspears @xtina Kind of sad people like y’all are still putting them against each other. Like. Mov… https://t.co/FCa2DTMbm1,5
@BRENT0N_WEST @YouTube So sorry to hear this Brenton. Sending love to you and all of your family and friends at this sad time.,5
"America was #antifa for six years.

Kinda sad they switched sides.",5
"@i_august_u this is sad. some people are crying over how short they are at 5'4"" like akshlej",5
@Rachelgpeters Yikes that was sad,5
"@MSBBJP @BJYM @ShwetanjaliMis1 @shivprakashbjp @sardanarohit @Tejasvi_Surya not really Muslim hotha tho mention Karte

sad news",5
"@Hey_ItsMe_1310 issok, dont be sad, im only a year younger than u TuT and i think ur mature, everyone love others help",5
i’m still so sad that we weren’t able to see this on the stadium tour. like the vcrs and EVERYTHING.,5
This is satirical but you can help but be sad you live in a country like this in 2020 https://t.co/IC9y0pvb7O,5
"@Josi_Kristine21 Don't be sad,  get a tattoo",5
"@Aimee_Abq Yes, so sad!  I was shocked when heard the bad news, the base only had official notice in July😢",5
She's the prettiest girl in town The kind you'd never think would feel sad or down She's full of charm and glory Bu… https://t.co/0CYo081jen,5
@GlizzyMaxwell Hey cool name change,5
i feel so sad for people just now discovering harry styles as a solo artist... it’s probably so sad to know u misse… https://t.co/dCXA10Ut6y,5
@ConorNigel @NigelGBenn Your Dad treat the world to the best fight EVER against Gerald McLellan although it ended i… https://t.co/qRn7rpIYW8,5
@lewis_e_atkin @BGLTHMND @LynnleeMavakay @Baconpwn @hempyhope @Landau_18901 @ChrisJohnsonMD @LG28640297… https://t.co/aWBTZ0SGkG,5
I NEVER SAW THIS SO I WAS WATCHING THE VAV PERFORMANCE LIKE WHERE TF IS MY BABIE BARON AND NOW IM SAD https://t.co/e7rIz2plNL,5
@CNN So sad,5
"i depend on my friends to stay clean, as sad as it seems",5
@CMEPhillips Thank youCaroline it’s sad we have to turn to support groups for help especially for pharma harm and w… https://t.co/NbspfvBdUZ,5
"Sometimes The negativity torched emotionally,broken in love , financial problems, education dropped, fukin too many… https://t.co/iIKuvPUkjC",5
@knucklehead365 Well now I'm sad,5
"@ThomasEvans1984 @RECLAIMproject You're right, it's disappointing that not enough people are backing this charity.… https://t.co/DqqPRefwq1",5
"2, gapernah dapet 1 cuz i'm not ur number one #sad 😞💔💔💔 https://t.co/uIFtex2jNu",5
It makes me so sad ever day and night and the idea that I have to feel that way again is even more depressing,5
@BunnyLilyy Why sad,5
@blueghostss honestly i’m sad to hear that. i’m sorry they are taking this important achievement away from those wh… https://t.co/zwyvVLvOYh,5
@waqas_amjaad Really sad. Thanks to Allah swt that He has very kindly saved you and the stupid biker. May Allah swt save you always. Ameen,5
Sooo sad #SaudiARMYMnooniversary https://t.co/doiVFyrheL,5
"@Hells4Heroes Unrecognisable. How sad. She should have had therapy, that’s not normal.",5
@noorzainabjafri Sad reacts for that fallen angel,5
my body hurts and i'm sad,5
@vakluhhhka sad reax onli,5
IM SO EXCITED BHR ALSO SAD???,5
squashed a few of the game’s worse bugs this evening and will hopefully be able to patch those in soon. speedrunner… https://t.co/wgwdHZfnra,5
ITS SO PRETTY WTF I'M SAD,5
"@smitaprakash @rose_k01 So sad , RIP 🌹🙏!",5
@TmusaKasereka @SimonKaggwaNjal @MakerereU At your age and you reason like a teenager! Sad!,5
Sometimes a smile on someone's face doesn't always mean that person is happy. They smile because they don't wanted… https://t.co/YmBHeXmSQY,5
@blaklamb @JackPosobiec Very stupid to bear spray an armed individual. Very sad situation. If someone pepper sprays… https://t.co/4oqquyygu7,5
@virgokyu this is so sad &lt;/3,5
"@ginachron 🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘
Pls 🙏 🙏 help these sweeties 🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘
   #adopt #foster #pledge
Look at them... terribly sad… https://t.co/bm7yvPg1qP",5
@Timcast What a disgrace sry didn't mean to rhyme into it lol still sad my prayers go to his family they must be de… https://t.co/cxNh5AaEPM,5
@AceDoloX1 sad shock won but oh well,5
I AM SO SAD I CAN‘T CONNECT MY ARMY BOMB😭😭😭😭,5
i dont even feel sad i just dont feel anything,5
"@mheena_deen @raysfordayss Things to tweet:
Anger: #EndSARS 
Bored: #EndSARS 
Tired: #EndSARS 
Hungry: #EndSARS 
Ir… https://t.co/aBYb5SmJlg",5
True but sad. https://t.co/woUjxQ6Kzc,5
"FUCK IT IM GONNA HAVE THE WORST BLOOM, WORST INTERNET, CLIPS CORRUPTING, AND ALL ODDS AGAINSED ME, IM TIRED OF FEEL… https://t.co/e44QY66oWG",5
Why do all the bops play as soon as you get to the drive thru,5
@Mori_Blu I'll never get that attitude by these dudes. real sad.,5
"@inataliehd Don't be sad,  get a tattoo",5
I can’t believe you tryna convince yourself that’s sad . https://t.co/O3kmbdrpxG,5
tired? sad? both?,5
@bts_bighit sad can't watch the concert 😞😞,5
"Just did a unfollow spree purrrrr, it was sad to see how much people unfollowed me💔 https://t.co/bXxdjUykpk",5
@Driuling I’m mad and sad at this,5
Got sad. Ate a lot of food. Too much food. Ow.,5
This clip says it all ... It resonates with me and I am sad.. I stepped into my car with a durag on and just before… https://t.co/o2yyC8cuG4,5
it’s sad tht even your own will do you dirty,5
The alternative media want to blame the mainstream media for their bad reporting. Sad! https://t.co/9VtrA23wVo,5
HOW DO I WATCH JJONG LIVE AND MOTS THIS IS SO SAD,5
I haven't sat down and watched a full race since I left for school and it really makes me sad how that part of bein… https://t.co/RrcdzvTp83,5
@Nina201710 @97InThe5th Actually before the semis and before the medic had to attend to the oh-so-sad injured tin soldier 🙄,5
@fraughtiana Im sad i don’t recognise most of these but billie’s debut album was an absolute banger!!!!!,5
"Once my dad is drunk, thats my cue to stfu.
And thats sad.",5
@neptunedoms i’m rly sovery sad and heartbroken 😞,5
"@kate_eviva @MichaelSpring17 @StevenJMiles Sad that honesty and decency appears so rare these days in the political,class.",5
The way he looked sad I just-🥺😔💧👄💧 https://t.co/lkdgaS2MXT,5
i’m sad,5
So sad !!! https://t.co/C9qd9aQayL,5
bitches fighting over dick yall goin out sad.🥱,5
"@kallil___ too sad to cry , so i smile :)",5
@EEAST_DLONC @CambsCops @EEAST_EOCs So sad 😞 as it stays with you after it doesn’t just go away! I was punched in m… https://t.co/0qvQoBvRVG,5
Just woke up from a dream where I was pregnant and now I feel a bit weirded out that my initial thought was I was sad as there was no bump 😕,5
just started my own blog called “sadreads” where i review/recommend sad books that i’ve read. i also rate them base… https://t.co/iuXVM6zGsE,5
@YellowCube7 I'll go with sad. Quite 1984. It's also ridiculous. https://t.co/8PN3HOwQAi,5
Meet nanti i nak you fokus my eyes and fokus my face cause i akan berjauhan with you. Don't be sad ok. I love you 3 thousand years ♥️🙂,5
Haunting of Bly Manor is giving me so many feelings. Such a dark and sad tale 😞,5
@benjochops Yeah I heard that. Really sad. Papa M’s ‘Whatever Mortal’ is a belter.,5
"In your pendulum column it sounds more of a thought, but now it is prophetic. However, there has been a pattern to… https://t.co/TVUXePJxGo",5
Looks like #cancelnetflix died. Sad. https://t.co/uw1e4SL44c,5
"#Mood #ImaSurvivor  
You thought that I'd be broke without ya, but I'm richer
You thought that I'd be sad without y… https://t.co/rcW1k57sup",5
@FinMinIndia @nsitharamanoffc @Anurag_Office @PIB_India @DDNewslive @airnewsalerts We regret to inform the sad demi… https://t.co/SeuKEmlV5f,5
Very sad my food isn’t ready yet lol,5
@jonathansamuels What was the PRIMARY CAUSE of the 81 people's sad demise?,5
I’m sad the Bills don’t play later. 😐,5
@DarshanRavalDZ Lmao I was being sad about you not tweeting Anything at all so thanks I guess hehe :3… https://t.co/xpZLcZ4sMC,5
Sorry just realized what the actual fuck am I doing sad wasting time crybaby headass mf,5
@2CRlNGE @gwinchie @SalsaVerde14 ur dad too ugly for u to put his face in ur pfp that’s sad af and he look short me… https://t.co/5xzmwnTDYB,5
@TheQuartering Whats sad is the fact that @BuzzFeedNews won't care.,5
oomf sant me a sad fic to read off to cry haha ✌️✌️,5
@miwavevo this is so Sad.,5
a sad soul can kill quicker than a germ,5
@brithume @lorie_towe What happened to Brit Hume? You would think after his tragedy he would turn to God but no- just the opposite- how sad.,5
@MarkPearsonMP Only a sad individual would do something like this to an innocent animal 😢,5
its so sad seeing so many students online feel guilty for not doing hw or studying and generally just struggling w/ boundaries,5
I get sad whenever I see legit good guys getting played🥺,5
"@Limahl_Official To repeat it I'm not too shy!
Do I have in my-holiday no WiFi 
then I'll be very sad!–That-is no l… https://t.co/499ezpus53",5
"@NetflixIndia sad and alone ,not good for your health.",5
"like,,, pandemic aside lol,,,,, fully can't imagine ever getting to watch hockey irl 😔 it's so Far Away 😔 feel weirdly sad abt it 😔",5
@soursott sad. but not surprised.,5
Sad how y’all be single mothers b4 the child is even born,5
Sad bc there are some things I don’t understand that I should communicate.,5
here i was thinking i was gonna be scared scared scared while watching bly manor but i was only sad sad sad,5
The sad part this world is full of cheaters.....,5
not me getting sad over a GUY,5
@akemii_hana Well I watch anime and cry myself to sleep. I should try to do it less often but im just too sad,5
@colfurries its not that sad wht are you crying like an baby,5
sad:( = comfort movie = twilight ! gn ppl,5
@roxanne1306 I heard the ending is also sad 😂,5
"The fact Luca did not have the black eye, wrappings and leg injuries until prison
Like the fact all of that is from… https://t.co/6CwesGSOap",5
@Gidi_Traffic @gidifeedtv This is sad. Am 😭,5
Very sad 😔 https://t.co/wDYydXUYJ8,5
ITS ALSO BEEN A YEAR SINCE I SAW BADFLOWER LIVE NO ONE TALK TO ME IM SAD,5
every playlist i make looks exactly the same because it always gets turned into a sad slow rock song playlist about forbidden love,5
@sleepingmessy @yeetinpatriarch just noticed my sad sad room,5
No one tell my boyfriend about this tweet or I will be pissed but he is living in a different city from me for 1 mo… https://t.co/zPltuKeeB7,5
@guynamederon I don't wanna drop names. I'm just sad :&lt;,5
@ShayJRyan @DavidLammy @RobertBuckland @pritipatel @BorisJohnson Another sad flag tosser,5
@DanRather Sad to see 102k ❤️ for this. 102k people who are as stupid as the national press thinks they are.,5
Okay so this is also in Jennifer’s Body? Sad I found it in the bad movie before I found it in the good movie (Jennifer’s Body),5
"Yall need to go watch #LivingUNFOCUMENTED on netflix seriously its so sad @netflix @selenagomez
https://t.co/sQuBqI150u",5
@for_iksan So sad😭,5
@KSPBHenri @MarilynFrenchee @BrokenTARDIS @Barnes_Law @AmandiOnAir @WhiteHouse @GOP Yet it’s you on here crying abo… https://t.co/R2NlhASULn,5
"@jayixo Thats ok, when u feel sad u must show ur feelings",5
@AshBhardwaj I’m glad to hear that you are doing well. Thank you for having the courage to ask for help and being p… https://t.co/BglPWhYfEu,5
I’m kinda sad no one gets my goofy tho 😂😂🥴,5
"@Worcatem @MemeRepos I'm a Master, Dummy. That's what you called me because that's what I am. Its in my name.

I gu… https://t.co/2UQ0hRUOZM",5
I'm so impressed! Lisa's dedication &amp; love for her passion is jz everything! #LALISAMANOBAN + #BLACKPINK are the wh… https://t.co/EkaaUnolQj,5
oomf doesn’t care about me anymore and we lowkey sad,5
i’m so excited but sad it’s rhe last night,5
just finished the american murder and now im sad and angry,5
@_Jhoa_ It's so sad how fast it flies by 😭😭,5
sad. very sad. https://t.co/ewFWjP19yK,5
"But erha will be so fucking angsty and painful for many chapters that you will feel the end is sad lol 
And Also in… https://t.co/6DUjoUTZKs",5
That’s sad but memories cannot be taken away https://t.co/qYeNUtcSXm,5
"It's sad that I can't do the ""How It Started vs How It's Going"" meme because G+ is gone, so I can't find old messages, posts and DMs...",5
"@Sad_Cart Nick its time to branch out into disney original film critic. You have everything to gain, the masses mus… https://t.co/KtuTSI4khA",5
"@sad_boy_roy Bro
Do you need to talk to someone?",5
i really want to change some of my studs to hoops and cute different studs but i haven’t had the time and money to… https://t.co/saTaweN5C2,5
@LewisHamilton I made a video assembly for my school... complaints came from parents and other teachers. Many white… https://t.co/kHAXrGNznn,5
@Susu_Omo It’s so sad honestly,5
@yesha_kayle If u felt sad chaiR Ap,5
"so sad rn I love reigen so much it was so fun to celebrate him with everybody,,,,,, 😔",5
@jennyrachelpal @mschlapp Explain why Republicans and #Trump are the bad guys after reading this.  Seriously. The s… https://t.co/qf4cnJosyQ,5
"it's kinda sad some moots i interact with don't interact back,, it makes me feel like they hate me ahh😔🤙",5
@COSAntiFascists @LarimerSheriff It’s always sad to hear when someone is harmed. 😢 Unless it’s an Andy Tifa fuqhead. Then it’s hilarious 😃,5
@ddongjus u can watch it later after someone reupload it  don't be sad  😆,5
This is so sad. Since Nate got banned and came back. Army people have started to speak up on tiktok. It’s time they… https://t.co/talkZdA0RN,5
@saluthom Same sad 😢,5
@An_ialwaysloveu @expensiveplan Same i really sad if they not on trend 😭😭😭,5
Yes I’m sad 🥺💕,5
Yaar yeh roz roz ka oververly happy and cheerful social life stuff na ho payega mujhse. Why can't people acknowledg… https://t.co/47myEk1dGk,5
@sad_mingi Jfdjjfsjdj.. you’re so sexy with your words and hot and cute and gorgeous and hdsjjfsjdn https://t.co/YDmVJNmebw,5
@secretIanguage i'm happy/sad about it but mostly sad https://t.co/h6y5ataBzt,5
fuck in so excited. but also sad,5
i'm so SAD https://t.co/LZkCie5yD6,5
@PrestynFan @MonteMorriss @PrestynMVP No hate cuz i already know Imma forget your existence in an hour or two but i… https://t.co/KWuIbrKwkf,5
i thot it was a banner notif.. sad. never mind,5
2 sad 2 even smoke weed is never a move,5
@TokyoInNewYork im sad,5
@Brenda_Black_ This is illegal. When autumn comes and the tree leaves fall on your side the neighbour doesn’t catch… https://t.co/nHQUEBte3o,5
@delmaclifton A bit sad when they have to buy votes. Hey @DebFrecklington,5
I am officially sad asf,5
@dvnots the hannah episode was SOOO sad i cried so much. the bent neck lady episode literally still gives me chills… https://t.co/RP7HclpZ29,5
"@NHLBruins @ToreyKrug So Krug left for an extra 500k a year? Wow, how sad.",5
i used to be sad every night........ wrow,5
@poeticspinach @trainedplaylist @BaconPilot @king_cowb0y im NOT sad. im saying i am *normally* so sad that i am nev… https://t.co/EgtGkVl2Qr,5
it’s crazy how my friends can tell just by looking at my eyes that I’ve been sad for months now.,5
"Good bad, rich poor..

Sad as it is, we're all going in the same direction..atheist one time a day",5
Isn’t it sad when you get hurt so much you can just say “I’m used to it”,5
sad to say that i WAS offended by tonight’s SNL b/c the fly is my dad 🙁,5
ok I'm deleting all these sad tweets I'm sorry I'll keep to myself,5
"@ProfNoelFitz Sorry for your sad news , but I hope she makes a speedy recovery , my prayers are with you both xxx",5
@ElijahSchaffer Are you guys sad that a white supremest died?? Are trump supporters just openly racist now??,5
once again I’m v sad that the humans that I love the most are FAR AWAY and I can’t do cute things like bake and giv… https://t.co/oq88lxWHIm,5
GUYS I MADE AN AMONG US GF AND SHE HAD TO GO IM SO SAD,5
@khunswhore_ PLS IM SAD I MISSED IT :(,5
i think i'm entering a depressive state i haven showered in a while and the idea of doing it seems so exhausting an… https://t.co/AL3VClZqgl,5
Last year I went to HOD but no cupsleeve event.. this year so sad 😭😭 the cupholder so cute.. https://t.co/iBPj4jmSbf,5
"Again, we must all feel sad for Meghan!
If we don’t, she will probably sue us! https://t.co/cjqhyjeEE1",5
"@kittymost @silverrich39 That won't happen sad to say,this world doesn't punish evil it promotes it the justice you crave comes after",5
@FacesOfCOVID It’s so sad that someone so kind and caring is gone,5
AND OUMA REMEMBERED SAIHARAS LAST AND FIRST WORDS TO HIM NO IM SAD,5
@jinboobaigawara NDHDBDJFH THIS IS SO SAD 💔💔💔💔,5
I care. I sad. I (fake) smile. I love. I confused. I angry. I don't understand about my feeling. Without you I'm nothing. :'),5
@pIasmasword i'm still sad about no Aria in a Justice Power Armor Suit,5
Very very sad night... don’t forget to tell your friends you love them,5
Looking at the current numbers in Europe makes me sad (my kids live in Germany) but also tells a story - we must ke… https://t.co/JBInVGlN9H,5
i miss europe sm i’m so sad,5
"miles to provide her with a new one, the kindess, love, blessings and help she received from her Twitter family in… https://t.co/GSbTfS9bys",5
"I'm getting cute tomorrow, I'm tired of being sad and ugly. might as well be sad and cute",5
last day.... ending ment gna b so sad idk if im ready...,5
